seed,policy,confirmatory_role,round,material_id,formula,predicted_band_gap_ev,uncertainty_ev,oracle_band_gap_ev,absolute_error_ev,target_hit,signal_level,selection_reason,budget_used,budget_total
2001,random,required_baseline,1,mp-1821,WSe2,1.156168,0.151432,1.4468000000000005,0.290632,False,D0,uniform random from the fixed validation pool,1,8
2001,random,required_baseline,2,mp-602,MoTe2,1.399053,0.139426,0.9651000000000005,0.433953,False,D0,uniform random from the fixed validation pool,2,8
2001,random,required_baseline,3,mp-1023936,WSe2,1.326705,0.801509,1.5378,0.211095,True,D2,uniform random from the fixed validation pool,3,8
2001,random,required_baseline,4,mp-1025572,WSe2,1.406095,0.152834,1.2288999999999999,0.177195,False,D0,uniform random from the fixed validation pool,4,8
2001,random,required_baseline,5,mp-1028441,WS2,1.344854,0.121208,1.6559000000000001,0.311046,True,D2,uniform random from the fixed validation pool,5,8
2001,random,required_baseline,6,mp-1023933,WSe2,1.407642,0.120977,1.5234,0.115758,True,D2,uniform random from the fixed validation pool,6,8
2001,random,required_baseline,7,mp-1023934,MoSe2,1.509511,0.295274,1.4311,0.078411,False,D0,uniform random from the fixed validation pool,7,8
2001,random,required_baseline,8,mp-1023938,MoTe2,1.442325,0.065256,1.0496999999999999,0.392625,False,D0,uniform random from the fixed validation pool,8,8
2001,static_topn,required_baseline,1,mp-1023940,MoSe2,1.516029,0.035731,1.4242,0.091829,False,D0,highest target score from the frozen development-only model,1,8
2001,static_topn,required_baseline,2,mp-1023938,MoTe2,1.528552,0.065069,1.0496999999999999,0.478852,False,D0,highest target score from the frozen development-only model,2,8
2001,static_topn,required_baseline,3,mp-1023937,WS2,1.624191,0.029869,1.8091,0.184909,True,D2,highest target score from the frozen development-only model,3,8
2001,static_topn,required_baseline,4,mp-1023936,WSe2,1.596764,0.053864,1.5378,0.058964,True,D2,highest target score from the frozen development-only model,4,8
2001,static_topn,required_baseline,5,mp-1023935,MoTe2,1.663349,0.065408,1.07,0.593349,False,D0,highest target score from the frozen development-only model,5,8
2001,static_topn,required_baseline,6,mp-1023934,MoSe2,1.659858,0.039379,1.4311,0.228758,False,D0,highest target score from the frozen development-only model,6,8
2001,static_topn,required_baseline,7,mp-1023925,WS2,1.505854,0.036745,1.697,0.191146,True,D2,highest target score from the frozen development-only model,7,8
2001,static_topn,required_baseline,8,mp-1023933,WSe2,1.471402,0.072413,1.5234,0.051998,True,D2,highest target score from the frozen development-only model,8,8
2001,iterative_w035,primary_policy,1,mp-1023935,MoTe2,1.658299,0.104607,1.07,0.588299,False,D0,target score plus normalized uncertainty; w=0.35; retrained after feedback,1,8
2001,iterative_w035,primary_policy,2,mp-1023934,MoSe2,1.375437,0.143897,1.4311,0.055663,False,D0,target score plus normalized uncertainty; w=0.35; retrained after feedback,2,8
2001,iterative_w035,primary_policy,3,mp-1030319,MoTe2,0.865609,0.254516,0.5861999999999998,0.279409,False,D0,target score plus normalized uncertainty; w=0.35; retrained after feedback,3,8
2001,iterative_w035,primary_policy,4,mp-1023937,WS2,1.415198,0.082744,1.8091,0.393902,True,D2,target score plus normalized uncertainty; w=0.35; retrained after feedback,4,8
2001,iterative_w035,primary_policy,5,mp-1023925,WS2,1.381614,0.195357,1.697,0.315386,True,D2,target score plus normalized uncertainty; w=0.35; retrained after feedback,5,8
2001,iterative_w035,primary_policy,6,mp-1023933,WSe2,1.391811,0.208151,1.5234,0.131589,True,D2,target score plus normalized uncertainty; w=0.35; retrained after feedback,6,8
2001,iterative_w035,primary_policy,7,mp-1821,WSe2,0.828789,0.338082,1.4468000000000005,0.618011,False,D0,target score plus normalized uncertainty; w=0.35; retrained after feedback,7,8
2001,iterative_w035,primary_policy,8,mp-9813,WS2,1.334427,0.169111,1.5593000000000004,0.224873,True,D2,target score plus normalized uncertainty; w=0.35; retrained after feedback,8,8
2001,iterative_w015,diagnostic_ablation_only,1,mp-1023935,MoTe2,1.658299,0.104607,1.07,0.588299,False,D0,target score plus normalized uncertainty; w=0.15; retrained after feedback,1,8
2001,iterative_w015,diagnostic_ablation_only,2,mp-1023937,WS2,1.391945,0.119635,1.8091,0.417155,True,D2,target score plus normalized uncertainty; w=0.15; retrained after feedback,2,8
2001,iterative_w015,diagnostic_ablation_only,3,mp-1023934,MoSe2,1.517141,0.135744,1.4311,0.086041,False,D0,target score plus normalized uncertainty; w=0.15; retrained after feedback,3,8
2001,iterative_w015,diagnostic_ablation_only,4,mp-1023925,WS2,1.525023,0.151983,1.697,0.171977,True,D2,target score plus normalized uncertainty; w=0.15; retrained after feedback,4,8
2001,iterative_w015,diagnostic_ablation_only,5,mp-1023933,WSe2,1.510505,0.198369,1.5234,0.012895,True,D2,target score plus normalized uncertainty; w=0.15; retrained after feedback,5,8
2001,iterative_w015,diagnostic_ablation_only,6,mp-1025571,WS2,1.468515,0.09728,1.6345,0.165985,True,D2,target score plus normalized uncertainty; w=0.15; retrained after feedback,6,8
2001,iterative_w015,diagnostic_ablation_only,7,mp-1023940,MoSe2,1.568388,0.023242,1.4242,0.144188,False,D0,target score plus normalized uncertainty; w=0.15; retrained after feedback,7,8
2001,iterative_w015,diagnostic_ablation_only,8,mp-1023936,WSe2,1.486463,0.139444,1.5378,0.051337,True,D2,target score plus normalized uncertainty; w=0.15; retrained after feedback,8,8
2001,pure_uncertainty,diagnostic_ablation_only,1,mp-1821,WSe2,1.156168,0.151432,1.4468000000000005,0.290632,False,D0,target score plus normalized uncertainty; w=1.0; retrained after feedback,1,8
2001,pure_uncertainty,diagnostic_ablation_only,2,mp-1028698,WSe2,1.451162,0.143213,1.1997000000000002,0.251462,False,D0,target score plus normalized uncertainty; w=1.0; retrained after feedback,2,8
2001,pure_uncertainty,diagnostic_ablation_only,3,mp-1023935,MoTe2,1.529781,0.60581,1.07,0.459781,False,D0,target score plus normalized uncertainty; w=1.0; retrained after feedback,3,8
2001,pure_uncertainty,diagnostic_ablation_only,4,mp-7459,MoTe2,0.992718,0.261793,0.0,0.992718,False,D0,target score plus normalized uncertainty; w=1.0; retrained after feedback,4,8
2001,pure_uncertainty,diagnostic_ablation_only,5,mp-224,WS2,1.347541,0.25294,1.5656999999999996,0.218159,True,D2,target score plus normalized uncertainty; w=1.0; retrained after feedback,5,8
2001,pure_uncertainty,diagnostic_ablation_only,6,mp-1023934,MoSe2,1.326552,0.168574,1.4311,0.104548,False,D0,target score plus normalized uncertainty; w=1.0; retrained after feedback,6,8
2001,pure_uncertainty,diagnostic_ablation_only,7,mp-602,MoTe2,1.247799,0.231326,0.9651000000000005,0.282699,False,D0,target score plus normalized uncertainty; w=1.0; retrained after feedback,7,8
2001,pure_uncertainty,diagnostic_ablation_only,8,mp-1030319,MoTe2,1.057527,0.274103,0.5861999999999998,0.471327,False,D0,target score plus normalized uncertainty; w=1.0; retrained after feedback,8,8
2002,random,required_baseline,1,mp-1023937,WS2,1.682177,0.254683,1.8091,0.126923,True,D2,uniform random from the fixed validation pool,1,8
2002,random,required_baseline,2,mp-1023934,MoSe2,1.781687,0.093538,1.4311,0.350587,False,D0,uniform random from the fixed validation pool,2,8
2002,random,required_baseline,3,mp-1027692,MoSe2,1.363626,0.182703,1.1384,0.225226,False,D0,uniform random from the fixed validation pool,3,8
2002,random,required_baseline,4,mp-1025576,MoTe2,1.278068,0.229828,0.6230000000000002,0.655068,False,D0,uniform random from the fixed validation pool,4,8
2002,random,required_baseline,5,mp-1023936,WSe2,1.309372,0.195066,1.5378,0.228428,True,D2,uniform random from the fixed validation pool,5,8
2002,random,required_baseline,6,mp-9813,WS2,0.87264,0.269616,1.5593000000000004,0.68666,True,D2,uniform random from the fixed validation pool,6,8
2002,random,required_baseline,7,mp-1028441,WS2,0.938038,0.229563,1.6559000000000001,0.717862,True,D2,uniform random from the fixed validation pool,7,8
2002,random,required_baseline,8,mp-1023940,MoSe2,1.513896,0.095771,1.4242,0.089696,False,D0,uniform random from the fixed validation pool,8,8
2002,static_topn,required_baseline,1,mp-1023940,MoSe2,1.507828,0.046916,1.4242,0.083628,False,D0,highest target score from the frozen development-only model,1,8
2002,static_topn,required_baseline,2,mp-1023938,MoTe2,1.514247,0.081431,1.0496999999999999,0.464547,False,D0,highest target score from the frozen development-only model,2,8
2002,static_topn,required_baseline,3,mp-1023937,WS2,1.624653,0.060024,1.8091,0.184447,True,D2,highest target score from the frozen development-only model,3,8
2002,static_topn,required_baseline,4,mp-1023936,WSe2,1.586816,0.080285,1.5378,0.049016,True,D2,highest target score from the frozen development-only model,4,8
